okp_code,section,code,display_name,base_price
B01.063.001.ZZZ.(03),"Прием (осмотр, консультация) для амбулаторных пациентов",202202,"Прием (осмотр, консультация) врача-ортодонта первичный (амбулаторно)",3000
B01.063.002.ZZZ.(04),"Прием (осмотр, консультация) для амбулаторных пациентов",202203,"Прием (осмотр, консультация) врача-ортодонта повторный (амбулаторно)",500
B01.065.001.ZZZ.(03),"Прием (осмотр, консультация) для амбулаторных пациентов",202204,"Прием (осмотр, консультация) врача-стоматолога-терапевта первичный (амбулаторно)",1500
B01.065.002.ZZZ.(04),"Прием (осмотр, консультация) для амбулаторных пациентов",202205,"Прием (осмотр, консультация) врача-стоматолога-терапевта повторный (амбулаторно)",500
B01.066.001.ZZZ.(03),"Прием (осмотр, консультация) для амбулаторных пациентов",202206,"Прием (осмотр, консультация) врача-стоматолога-ортопеда первичный (амбулаторно)",1500
B01.066.002.ZZZ.(04),"Прием (осмотр, консультация) для амбулаторных пациентов",202207,"Прием (осмотр, консультация) врача-стоматолога-ортопеда повторный (амбулаторно)",500
B01.067.001.ZZZ.(03),"Прием (осмотр, консультация) для амбулаторных пациентов",202208,"Прием (осмотр, консультация) врача-стоматолога-хирурга первичный (амбулаторно)",1500
B01.067.002.ZZZ.(04),"Прием (осмотр, консультация) для амбулаторных пациентов",202209,"Прием (осмотр, консультация) врача-стоматолога-хирурга повторный (амбулаторно)",500
B04.065.002.ZZZ.(01),"Прием (осмотр, консультация) для амбулаторных пациентов",202210,"Профилактический прием (осмотр, консультация) врача-стоматолога-терапевта (амбулаторно)",1500
B01.064.003.ZZZ.(03),"Прием (осмотр, консультация) для амбулаторных пациентов",202255,"Прием (осмотр, консультация) врача-стоматолога детского первичный (амбулаторно)",2000
B01.064.004.ZZZ.(04),"Прием (осмотр, консультация) для амбулаторных пациентов",202256,"Прием (осмотр, консультация) врача-стоматолога детского повторный (амбулаторно)",1000
B01.064.033.ZZZ.(03),"Прием (осмотр, консультация) для амбулаторных пациентов",202257,"Прием (осмотр, консультация) врача-стоматолога хирурга детского первичный (амбулаторно)",2000
B01.064.044.ZZZ.(04),"Прием (осмотр, консультация) для амбулаторных пациентов",202258,"Прием (осмотр, консультация) врача-стоматолога хирурга детского повторный (амбулаторно)",1000
B01.063.001.ZZZ.(01),"Прием (осмотр, консультация) для амбулаторных пациентов",101477,"Прием (осмотр, консультация) врача-ортодонта первичный",1500
B01.063.002.ZZZ.(02),"Прием (осмотр, консультация) для амбулаторных пациентов",101478,"Прием (осмотр, консультация) врача-ортодонта повторный",500
B01.065.001.ZZZ.(01),"Прием (осмотр, консультация) для амбулаторных пациентов",101479,"Прием (осмотр, консультация) врача-стоматолога-терапевта первичный",1500
B01.065.001.ZZZ.(04),"Прием (осмотр, консультация) для амбулаторных пациентов",1014791,"Прием (осмотр, консультация) врача-стоматолога первичный, ознакомительный",500
B01.065.002.ZZZ.(02),"Прием (осмотр, консультация) для амбулаторных пациентов",101480,"Прием (осмотр, консультация) врача-стоматолога-терапевта повторный",500
B01.066.001.ZZZ.(01),"Прием (осмотр, консультация) для амбулаторных пациентов",101481,"Прием (осмотр, консультация) врача-стоматолога-ортопеда первичный",1500
B01.066.002.ZZZ.(02),"Прием (осмотр, консультация) для амбулаторных пациентов",101482,"Прием (осмотр, консультация) врача-стоматолога-ортопеда повторный",500
B01.067.001.ZZZ.(01),"Прием (осмотр, консультация) для амбулаторных пациентов",101483,"Прием (осмотр, консультация) врача-стоматолога-хирурга первичный",1500
B01.067.002.ZZZ.(02),"Прием (осмотр, консультация) для амбулаторных пациентов",101484,"Прием (осмотр, консультация) врача-стоматолога-хирурга повторный",500
B01.068.001.ZZZ,"Прием (осмотр, консультация) для амбулаторных пациентов",101485,"Прием (осмотр, консультация) врача - челюстно-лицевого хирурга первичный",4200
B01.064.003.ZZZ.(01),"Прием (осмотр, консультация) для амбулаторных пациентов",101642,"Прием (осмотр, консультация) врача-стоматолога детского первичный",1500
B01.064.004.ZZZ.(02),"Прием (осмотр, консультация) для амбулаторных пациентов",101643,"Прием (осмотр, консультация) врача-стоматолога детского повторный",1000
B01.064.033.ZZZ.(01),"Прием (осмотр, консультация) для амбулаторных пациентов",101644,"Прием (осмотр, консультация) врача-стоматолога хирурга детского первичный",1500
B01.064.044.ZZZ.(02),"Прием (осмотр, консультация) для амбулаторных пациентов",101645,"Прием (осмотр, консультация) врача-стоматолога хирурга детского повторный",1000
