section,code,display_name,base_price
"Прием (осмотр, консультация) для амбулаторных пациентов",202202,"Прием (осмотр, консультация) врача-ортодонта первичный (амбулаторно)",1100.0
"Прием (осмотр, консультация) для амбулаторных пациентов",202203,"Прием (осмотр, консультация) врача-ортодонта повторный (амбулаторно)",200.0
"Прием (осмотр, консультация) для амбулаторных пациентов",202204,"Прием (осмотр, консультация) врача-стоматолога-терапевта первичный (амбулаторно)",1100.0
"Прием (осмотр, консультация) для амбулаторных пациентов",202205,"Прием (осмотр, консультация) врача-стоматолога-терапевта повторный (амбулаторно)",200.0
"Прием (осмотр, консультация) для амбулаторных пациентов",202206,"Прием (осмотр, консультация) врача-стоматолога-ортопеда первичный (амбулаторно)",1100.0
"Прием (осмотр, консультация) для амбулаторных пациентов",202207,"Прием (осмотр, консультация) врача-стоматолога-ортопеда повторный (амбулаторно)",200.0
"Прием (осмотр, консультация) для амбулаторных пациентов",202208,"Прием (осмотр, консультация) врача-стоматолога-хирурга первичный (амбулаторно)",1100.0
"Прием (осмотр, консультация) для амбулаторных пациентов",202209,"Прием (осмотр, консультация) врача-стоматолога-хирурга повторный (амбулаторно)",200.0
"Прием (осмотр, консультация) для амбулаторных пациентов",202255,"Прием (осмотр, консультация) врача-стоматолога детского первичный (амбулаторно)",1500.0
"Прием (осмотр, консультация) для амбулаторных пациентов",202256,"Прием (осмотр, консультация) врача-стоматолога детского повторный (амбулаторно)",500.0
"Прием (осмотр, консультация) для амбулаторных пациентов",202257,"Прием (осмотр, консультация) врача-стоматолога хирурга детского первичный (амбулаторно)",1500.0
"Прием (осмотр, консультация) для амбулаторных пациентов",202258,"Прием (осмотр, консультация) врача-стоматолога хирурга детского повторный (амбулаторно)",500.0
Рентгенологическое исследование,800000,Компьютерная томография челюстно-лицевой области,4500.0
Рентгенологическое исследование,800001,Телерентгенограмма в боковой проекции,1500.0
Рентгенологическое исследование,800002,Радиовизиография,400.0
Рентгенологическое исследование,800003,Рентгенография зуба,400.0
Рентгенологическое исследование,800004,Ортопантомография,1500.0
Рентгенологическое исследование,800005,Антропометрические исследования: расчёт боковой телерентгенограммы,3500.0
Рентгенологическое исследование,800006,Описание и интерпретация рентгенографических изображений,4500.0
Снятие оттисков,800100,Снятие оттиска с одной челюсти силиконовым материалом (А - силикон),2100.0
Снятие оттисков,800101,Снятие оттиска с одной челюсти силиконовым материалом (С - силикон),1400.0
Снятие оттисков,800102,Снятие оттиска с одной челюсти полиэфирным слепочным материалом,4200.0
Снятие оттисков,800103,Снятие оттиска с одной челюсти альгинатной массой,1100.0
Снятие оттисков,800104,Снятие оттиска с одной челюсти силиконовым материалом (силиконовый ключ),1000.0
Снятие оттисков,800105,Снятие оттиска с одной челюсти: изготовление индивидуальной ложки,2500.0
Снятие оттисков,800106,Снятие оттиска с одной челюсти с использованием индивидуальной ложки с имплантатов открытым методом,5000.0
Снятие оттисков,800107,Снятие оттиска с одной челюсти с использованием внутриротового оптического цифрового сканера,5000.0
Анестезия,800200,Проводниковая анестезия,900.0
Анестезия,800201,Аппликационная анестезия,400.0
Анестезия,800202,Инфильтрационная анестезия,700.0
Изоляция,800300,Изоляция системой ОптраГейт для улучшенной визуализации полости рта,1100.0
Изоляция,800301,Изоляция системой Коффердам (Раббердам) при сошлифовывании твердых тканей зуба,1500.0
